OTU	Kingdom	Phylum	Order	Class	Family	Genus	Species	Sub.species	taxon	taxonomicLevel	trophicMode	guild	trait	growthForm	confidenceRanking	notes	citationSource
Cluster_64	Fungi	Basidiomycota	undefined	Tremellomycetes	Cystofilobasidiales	undefined	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_65	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_778	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_95	Fungi	Basidiomycota	undefined	Agaricomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_99	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreales	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_121	Fungi	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined	Mucoromycotina__sp.__MIB__8447	na	na	na	na	na	na	na	na	na
Cluster_124	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_138	Fungi	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined	Mucoromycotina__sp.__MIB__8387	na	na	na	na	na	na	na	na	na
Cluster_144	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_159	Fungi	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined	Mucoromycotina__sp.__MIB__8388	na	na	na	na	na	na	na	na	na
Cluster_160	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_161	Fungi	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	na	na	na	na	na	na	na	na	na
Cluster_166	Fungi	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	na	na	na	na	na	na	na	na	na
Cluster_169	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_180	Fungi	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined	Mucoromycotina__sp.__MIB__8352	na	na	na	na	na	na	na	na	na
Cluster_187	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_189	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_201	Fungi	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	na	na	na	na	na	na	na	na	na
Cluster_202	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	undefined	uncultured__Rozella	na	na	na	na	na	na	na	na	na
Cluster_21	Fungi	Basidiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__rhizosphere__basidiomycete	na	na	na	na	na	na	na	na	na
Cluster_212	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_219	Fungi	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	na	na	na	na	na	na	na	na	na
Cluster_223	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	undefined	uncultured__Rozella	na	na	na	na	na	na	na	na	na
Cluster_225	Fungi	Ascomycota	undefined	undefined	undefined	undefined	undefined	Ascomycota__sp.__Ex7	na	na	na	na	na	na	na	na	na
Cluster_236	Fungi	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined	Mucoromycotina__sp.__MIB__8448	na	na	na	na	na	na	na	na	na
Cluster_24	Fungi	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	na	na	na	na	na	na	na	na	na
Cluster_246	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_247	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_262	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	undefined	uncultured__Rozella	na	na	na	na	na	na	na	na	na
Cluster_268	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_278	Fungi	Basidiomycota	undefined	Agaricomycetes	Boletales	undefined	undefined	uncultured__Boletaceae	na	na	na	na	na	na	na	na	na
Cluster_281	Fungi	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	na	na	na	na	na	na	na	na	na
Cluster_286	Fungi	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	na	na	na	na	na	na	na	na	na
Cluster_289	Fungi	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	na	na	na	na	na	na	na	na	na
Cluster_291	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_296	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_303	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_310	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_318	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_328	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_33	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_331	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_343	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_347	Fungi	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_363	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_384	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_385	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_414	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	undefined	uncultured__Rozella	na	na	na	na	na	na	na	na	na
Cluster_449	Fungi	Basidiomycota	undefined	Agaricomycetes	Auriculariales	undefined	undefined	uncultured__Auriculariaceae	na	na	na	na	na	na	na	na	na
Cluster_47	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_48	Fungi	Ascomycota	undefined	undefined	undefined	undefined	undefined	Ascomycota__sp.__DIVA1	na	na	na	na	na	na	na	na	na
Cluster_5	Fungi	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined	Mucoromycotina__sp.__MIB__8388	na	na	na	na	na	na	na	na	na
Cluster_51	Fungi	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined	Mucoromycotina__sp.__MIB__8352	na	na	na	na	na	na	na	na	na
Cluster_513	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_520	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_525	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_59	Fungi	Ascomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Soil__Clone__Group__I	na	na	na	na	na	na	na	na	na
Cluster_675	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	undefined	undefined	uncultured__Helotiales	na	na	na	na	na	na	na	na	na
Cluster_73	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_80	Fungi	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_81	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_84	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_85	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_90	Fungi	Ascomycota	Pezizomycotina	Orbiliomycetes	Orbiliales	undefined	undefined	uncultured__Orbiliaceae	na	na	na	na	na	na	na	na	na
Cluster_91	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	na	na	na	na	na	na	na	na	na
Cluster_733	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Chytridiales	Chytridiaceae	Chytridium	Chytridium__polysiphoniae	Chytridium	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_46	Fungi	Basidiomycota	Pucciniomycotina	undefined	Helicobasidiales	undefined	Helicobasidium	Helicobasidium__purpureum	Helicobasidium	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Cluster_238	Fungi	Ascomycota	Pezizomycotina	undefined	Medeolariales	Medeolariaceae	Medeolaria	Medeolaria__farlowii	Medeolaria	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_88	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariales	undefined	Microdochium	Multi-affiliation	Microdochium	na	Pathotroph	Plant Pathogen	na	na	Probable	na	na
Cluster_129	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium	Olpidium__brassicae	Olpidium	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	"Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_61	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium	Olpidium__brassicae	Olpidium	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	"Devasahayam HL, Henry LDC. 2009. Illustrated Plant Pathology - Basic Concepts, New India Publishing, New Delhi ((https://isbnsearch.org/isbn/9380235089)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_242	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Multi-affiliation	Multi-affiliation	Ophiostomataceae	9	Pathotroph	Plant Pathogen	Blue-Staining	Microfungus	Probable	"At least most species are transmitted via insect vectors, with mycelial colonies developing in bark-boring beetle galleries and spreading through the vascular system; they are highly specific to their beetle vectors. In some cases spores and mycelium are transmitted in specialized organs, termed mycangia (Cannon & Kirk 2007)"	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_233	Fungi	Basidiomycota	Pucciniomycotina	undefined	Pucciniales	Pucciniaceae	Multi-affiliation	Multi-affiliation	Pucciniaceae	9	Pathotroph	Plant Pathogen	NULL	Rust	Probable	"Biotrophic, heteroecious or autoecious, associated with leaf and stem tissue of a very wide range of plants (Cannon & Kirk 2007)"	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Cluster_101	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Chytridiales	Chytridiaceae	Rhizidium	Rhizidium__endosporangiatum	Rhizidium	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_137	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Chytridiales	Chytridiaceae	Rhizidium	Rhizidium__endosporangiatum	Rhizidium	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_38	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Chytridiales	Chytridiaceae	Rhizidium	Rhizidium__endosporangiatum	Rhizidium	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_116	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Triparticalcar	Triparticalcar__arcticum	Triparticalcar	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_228	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Triparticalcar	Triparticalcar__arcticum	Triparticalcar	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_156	Fungi	Basidiomycota	undefined	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Waitea	Rhizoctonia__zeae	Waitea	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_413	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Chytridiales	Chytridiaceae	Zygorhizidium	Zygorhizidium__planktonicum	Zygorhizidium	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_330	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Capnodiales	undefined	Ramichloridium	Ramichloridium__anceps	Ramichloridium	na	Pathogen	Plant Pathogen	na	na	na	na	na
Cluster_403	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Pichia	Pichia__petersonii	Pichia	13	Pathotroph-Saprotroph-Symbiotroph	Saprotroph	NULL	Yeast	Probable	Found in wood and digestive systems of the beetle Odontotaenius disjunctus; Likely opportunistic human pathogen (Irinyi et al. 2015)	"Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); The American Phytopathological Society Common Names of Plant Diseases ((https://www.apsnet.org/edcenter/resources/commonnames/Pages/default.aspx)); https://www.cdc.gov ((https://www.cdc.gov))"
Cluster_103	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chaetosphaeria	Chaetosphaeria__ciliata	Chaetosphaeria	13	Saprotroph-Symbiotroph	Saprotroph	NULL	NULL	Probable	NULL	"Réblová M, et al. 2006. Mycological Research 110:104-109 ((https://doi.org/10.1016/j.mycres.2005.09.003)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_519	Fungi	Zygomycota	Mucoromycotina	undefined	Mucorales	Mucoraceae	Actinomucor	Actinomucor__elegans	Actinomucor	13	Saprotroph	Saprotroph	NULL	NULL	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_11	Fungi	Basidiomycota	undefined	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus__bisporus	Agaricaceae	9	Saprotroph	Saprotroph	NULL	Agaricoid-Gasteroid-Secotioid	Probable	Primarily saprobes in grassland and woodland situations (Cannon & Kirk 2007)	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Cluster_139	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycopsidaceae	Ambrosiozyma	Multi-affiliation	Ambrosiozyma	13	Saprotroph	Saprotroph	NULL	Yeast	Probable	"Isolated from galleries bored by ambrosia beetles (Endoh R, et al. 2008) and mountain streams (Kurtzman & Robnett 2013)"	"Endoh R, et al. 2008. Antonie van Leeuwenhoek 94:365-376 ((https://doi.org/10.1007/s10482-008-9253-z))"
Cluster_383	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycopsidaceae	Ambrosiozyma	Ambrosiozyma__platypodis	Ambrosiozyma	13	Saprotroph	Saprotroph	NULL	Yeast	Probable	"Isolated from galleries bored by ambrosia beetles (Endoh R, et al. 2008) and mountain streams (Kurtzman & Robnett 2013)"	"Endoh R, et al. 2008. Antonie van Leeuwenhoek 94:365-376 ((https://doi.org/10.1007/s10482-008-9253-z))"
Cluster_433	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Saccharomycopsidaceae	Ambrosiozyma	Multi-affiliation	Ambrosiozyma	13	Saprotroph	Saprotroph	NULL	Yeast	Probable	"Isolated from galleries bored by ambrosia beetles (Endoh R, et al. 2008) and mountain streams (Kurtzman & Robnett 2013)"	"Endoh R, et al. 2008. Antonie van Leeuwenhoek 94:365-376 ((https://doi.org/10.1007/s10482-008-9253-z))"
Cluster_26	Fungi	Basidiomycota	undefined	Agaricomycetes	Amylocorticiales	Amylocorticiaceae	Anomoporia	Anomoporia__bombycina	Anomoporia	13	Saprotroph	Saprotroph	Brown Rot	Corticioid	Highly Probable	NULL	"Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo (ISBN: 978-0945345060)"
Cluster_354	Fungi	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	Ascobolus__carbonarius	Ascobolus	13	Saprotroph	Saprotroph	Soft Rot	NULL	Probable	NULL	"Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington (ISBN: 978-0864730015); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_240	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Savoryellales	undefined	Ascotaiwania	Ascotaiwania__sawadae	Ascotaiwania	13	Saprotroph	Saprotroph	NULL	Microfungus	Possible	From decaying submerged wood (Calduch et al. 2002)	"Calduch M, et al. 2002. Mycologia 94:355-361 ((https://doi.org/10.1080/15572536.2003.11833241))"
Cluster_49	Fungi	Basidiomycota	undefined	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia	Auricularia__polytricha	Auricularia	13	Saprotroph	Saprotroph	NULL	NULL	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_334	Fungi	Basidiomycota	Pucciniomycotina	undefined	Erythrobasidiales	undefined	Bannoa	Bannoa__sp.__MP3490	Bannoa	13	Saprotroph	Saprotroph	NULL	Yeast	Possible	Symbiotroph isolated from dead leaves (Hamamoto et al. 2002)	"Hamamoto M, et al. 2002. International Journal of Systematic and Evolutionary Microbiology 52:1023-1032 ((https://doi.org/10.1099/ijs.0.02000-0))"
Cluster_218	Fungi	Zygomycota	Entomophthoromycotina	undefined	Entomophthorales	Basidiobolaceae	Basidiobolus	Multi-affiliation	Basidiobolus	13	Pathotroph-Saprotroph-Symbiotroph	Saprotroph	NULL	Microfungus	Probable	"Basidiobolus ranarum is commonly present in decaying fruit and vegetable matter, and as a commensal in the intestinal tract of frogs, toads, and lizards - Cause of subcutaneous zygomycosis in humans (Cannon & Kirk 2007)"	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_377	Fungi	Zygomycota	Entomophthoromycotina	undefined	Entomophthorales	Basidiobolaceae	Basidiobolus	Multi-affiliation	Basidiobolus	13	Pathotroph-Saprotroph-Symbiotroph	Saprotroph	NULL	Microfungus	Probable	"Basidiobolus ranarum is commonly present in decaying fruit and vegetable matter, and as a commensal in the intestinal tract of frogs, toads, and lizards - Cause of subcutaneous zygomycosis in humans (Cannon & Kirk 2007)"	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_267	Fungi	Basidiomycota	undefined	Tremellomycetes	Tremellales	undefined	Bullera	Bullera__unica	Bullera	13	Saprotroph-Symbiotroph	Saprotroph	NULL	Yeast	Probable	"Isolated from dead leaves of Oryza sativa, Miscanthus sinensis and Sasa sp. in Japan (Nakase & Suzuki 1986; Syn. Udeniomyces puniceus); Foliar, isolated from leaves of Melostomae candidum (Nakase et al. 2004)"	"Nakase T, Suzuki M. 1986. Journal of General and Applied Microbiology Tokyo 32:225-240 ((https://doi.org/10.2323/jgam.32.225)); Nakase T, et al. 2004. Systematic and Applied Microbiology 27:558-564 ((https://doi.org/10.1078/0723202041748118))"
Cluster_361	Fungi	Basidiomycota	undefined	Tremellomycetes	Tremellales	undefined	Bullera	Bullera__formosensis	Bullera	13	Saprotroph-Symbiotroph	Saprotroph	NULL	Yeast	Probable	"Isolated from dead leaves of Oryza sativa, Miscanthus sinensis and Sasa sp. in Japan (Nakase & Suzuki 1986; Syn. Udeniomyces puniceus); Foliar, isolated from leaves of Melostomae candidum (Nakase et al. 2004)"	"Nakase T, Suzuki M. 1986. Journal of General and Applied Microbiology Tokyo 32:225-240 ((https://doi.org/10.2323/jgam.32.225)); Nakase T, et al. 2004. Systematic and Applied Microbiology 27:558-564 ((https://doi.org/10.1078/0723202041748118))"
Cluster_69	Fungi	Basidiomycota	undefined	Tremellomycetes	Tremellales	undefined	Bullera	Bullera__globispora	Bullera	13	Saprotroph-Symbiotroph	Saprotroph	NULL	Yeast	Probable	"Isolated from dead leaves of Oryza sativa, Miscanthus sinensis and Sasa sp. in Japan (Nakase & Suzuki 1986; Syn. Udeniomyces puniceus); Foliar, isolated from leaves of Melostomae candidum (Nakase et al. 2004)"	"Nakase T, Suzuki M. 1986. Journal of General and Applied Microbiology Tokyo 32:225-240 ((https://doi.org/10.2323/jgam.32.225)); Nakase T, et al. 2004. Systematic and Applied Microbiology 27:558-564 ((https://doi.org/10.1078/0723202041748118))"
Cluster_74	Fungi	Basidiomycota	undefined	Agaricomycetes	Agaricales	Tricholomataceae	Camarophyllopsis	Camarophyllopsis__hymenocephala	Camarophyllopsis	13	Saprotroph	Saprotroph	NULL	Agaricoid	Probable	Unpleasant odor	Herink J. 1958. Sborník Severoceského Musea 1:53-86
Cluster_237	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Boliniales	Boliniaceae	Camarops	Camarops__ustulinoides	Camarops	13	Saprotroph	Saprotroph	NULL	NULL	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_339	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	undefined	Candida	Candida__sp.__BG01-7-24-002F-2-1	Candida	13	Pathotroph-Saprotroph-Symbiotroph	Saprotroph	NULL	Dimorphic Yeast	Probable	This asexual genus is polyphyletic and contain species that function very differently depend on what they are. Caution should be taken when interpreting guilds for Candida species.	"Manolakaki D, et al. 2010. Virulence. 1: 367-375 ((https://doi.org/10.4161/viru.1.5.12796)); Mekbib SB, et al. 2011. Tropical Plant Pathology 36:233-240 ((https://doi.org/10.1590/S1982-56762011000400004))"
Cluster_342	Fungi	Basidiomycota	undefined	Agaricomycetes	Agaricales	Tricholomataceae	Chromosera	Chromosera__cyanophylla	Chromosera	13	Saprotroph	Saprotroph	NULL	NULL	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_113	Fungi	Chytridiomycota	undefined	undefined	undefined	undefined	undefined	uncultured__Chytridiomycota	Chytridiomycota	na	Saprotroph	Saprotroph	na	na	Probable	na	"James TY, et al. 2006. Nature 443:818-822"
Cluster_82	Fungi	Ascomycota	undefined	undefined	undefined	undefined	Cirrenalia	Cirrenalia__macrocephala	Cirrenalia	13	Saprotroph	Saprotroph	NULL	NULL	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_157	Fungi	Basidiomycota	undefined	Agaricomycetes	Atheliales	Atheliaceae	Cristinia	Cristinia__sp.__FP-100305	Cristinia	13	Saprotroph	Saprotroph	NULL	NULL	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_264	Fungi	Zygomycota	Mucoromycotina	undefined	Mucorales	Cunninghamellaceae	Cunninghamella	Multi-affiliation	Cunninghamella	13	Saprotroph	Saprotroph	NULL	NULL	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_204	Fungi	Basidiomycota	undefined	Agaricomycetes	Agaricales	Cyphellaceae	Limnoperdon	Limnoperdon__incarnatum	Cyphellaceae	9	Saprotroph	Saprotroph	NULL	Microfungus	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_192	Fungi	Basidiomycota	undefined	Agaricomycetes	Auriculariales	Exidiaceae	Exidia	Exidia__uvapsassa	Exidia	13	Saprotroph-Symbiotroph	Saprotroph	NULL	Tremelloid	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6))"
